name,price,genre,performance_type,performer_type,profile
Banti,"30,000",Stand Up Comedian,Solo,Affordable,https://drive.google.com/drive/folders/13gFxcRzsrTs0Y-ik01q0N_jz2bGEYpqi?usp=drive_link
Anand Subramanian,"30,000",Stand Up Comedian,Solo,Affordable,https://drive.google.com/drive/folders/1lZ1FWXtK2YwDD0bRoH-e_WMYWQPSAeVM?usp=drive_link
Avisaar,"30,000",Stand Up Comedian,Solo,Affordable,https://drive.google.com/drive/folders/1jIKbOSEF-u2IrdOWrIHzmE5eOdn9rPEA?usp=drive_link
Anubhav,"30,000",Stand Up Comedian,Solo,Affordable,https://drive.google.com/drive/folders/1LDNUtu7rtmX6vYA5g1qxKK_BQg5VboOv?usp=drive_link
Surabhi ,"30,000",Stand Up Comedian,Solo,Affordable,https://drive.google.com/drive/folders/1E3XLwcdctqJJxGpvB9eVrSkP1iGEgNhz?usp=drive_link
Andy,"30,000",Stand Up Comedian,Solo,Affordable,https://youtu.be/qjLFhQN03H0?si=dyP2tXZyv8fQys_v
Atul ,"30,000",Stand Up Comedian,Solo,Affordable,https://drive.google.com/drive/folders/1XKWy6nP2VJNlAQmhM_fe58vCvndJEVLX?usp=drive_link
Neej ,"30,000",Stand Up Comedian,Solo,Affordable,https://drive.google.com/file/d/1sFema6hySu6ywaLfiu5Z3gVcKxtlvaUL/view?usp=drivesdk
Jeet,"30,000",Stand Up Comedian,Solo,Affordable,https://youtube.com/@jeetmodycomedy?si=t7Us5yzgFzBBoOg3
Jackie ,"30,000",Stand Up Comedian,Solo,Affordable,https://youtube.com/@jackiethakkar?si=STWlzXTBTwJDCHtn
Rohit Singh,"45,000",Stand Up Comedian,Solo,Affordable,https://youtube.com/@rawhitsingh?si=A45_4ubF7VGG00gS
Rakesh Addlakha,"70,000",Stand Up Comedian,Solo,Affordable,https://youtube.com/@rakeshaddlakha?si=sjDzlLU0mIv41YPA
Inder Sahani,"80,000",Stand Up Comedian,Solo,Affordable,https://youtube.com/@indersahani?si=11b5HcbITL2jd7Zq
Amrita Sethi,"1,70,000",Stand Up Comedian,Solo,Premium ,https://youtube.com/@amritasethii?si=YF88CuC3zysbPbKd
Chirag Panjwani,"1,80,000",Stand Up Comedian,Solo,Premium ,https://youtube.com/@chiragpanjwani?si=aaHGfskV7kWOPW-l 
Shreya Priyam,"2,00,000",Stand Up Comedian,Solo,Premium ,https://youtube.com/@shreyapriyam83?si=6ciJ9o0YDojcw4xI
Pranay Sharma,"2,35,000",Stand Up Comedian,Solo,Premium , https://youtube.com/@taazaphool?si=DqK2rOJUtoRCYHmb
Nishant Suri,"2,90,000",Stand Up Comedian,Solo,Premium ,https://youtube.com/@nishantsuri11?si=uwQaLeGN23mAjq2z
Swati Sachdeva,"3,20,000",Stand Up Comedian,Solo,Premium ,https://youtube.com/@swatisachdeva95?si=WycvhPQCVIWjozk7
Rohan,"55,000",Dancers,Dance Group,Affordable,https://worldofmusicians.com/listing/rohan-and-group/
Xtacy Dance,"2,00,000",Dancers,Dance Group,Premium ,https://worldofmusicians.com/listing/xtacy-dance-company-2/
Zenith,"3,00,000",Dancers,Dance Group,Premium ,https://worldofmusicians.com/listing/zenith-dance-group-3/
Kings United,"1,75,000",Dancers,Dance Group,Premium ,https://worldofmusicians.com/listing/kings-united/
Zero Degree,"35,000",Dancers,Dance Group,Affordable,https://worldofmusicians.com/listing/zero-degree/
Pravin,"80,000",Dancers,Dance Group,Affordable,https://worldofmusicians.com/listing/pravin/
Zero Gravity,"65,000",Dancers,Dance Group,Affordable,https://worldofmusicians.com/listing/zero-gravity/
Soul 2 Sole,"85,000",Dancers,Dance Group,Affordable,https://worldofmusicians.com/listing/soul-2-sole-dance/
